p1 mw,p1 WF,p2 mw,p2 WF
108107.5234,0.17970635747016156,262164192,0.5685371945786957
107923.3438,0.18096844850652374,261724736,0.5763654908763075
107740.0703,0.18246823758805983,261291760,0.5836144333372755
107557.9297,0.18361705214828222,260864640,0.5917798493589427
107376.5703,0.18502366052316208,260443952,0.5994248739166
107196.2266,0.18631954406232074,260029072,0.6072172466527358
107016.7734,0.18774302226554856,259619984,0.6151675830077555
106838.3203,0.18917067824969863,259216656,0.623381884291585
106660.8672,0.19036070228788982,258819088,0.6317140719261592
106484.1797,0.19179034141484747,258427216,0.6393156727619326
106308.4844,0.19324716267948105,258040480,0.6471700078058082
106133.7813,0.19469948880932703,257658864,0.6560235099861667
105960.0625,0.1958873975062806,257282880,0.6641753106323225
105787.0859,0.1973599119001492,256911952,0.6734588953569293
105615.0938,0.1988091179474179,256546640,0.6797375172288466
105444.0703,0.2001368770012329,256185216,0.6894231072926299
105273.9063,0.2015841924556855,255829376,0.6981950699914051
105104.7109,0.20288790276296859,255478496,0.7060734822731045
104936.3594,0.20420767645490503,255132032,0.7129098037931694
104768.8594,0.20565883913875246,254789392,0.7222543893492186
104602.3047,0.20697362855061963,254451680,0.7318365934476628
104436.5938,0.20844100007066485,254118880,0.7390833051545628
104271.8359,0.20975068620169482,253789856,0.7477741128009526
104107.9063,0.2112084593615675,253465152,0.7567414626476408
103944.9219,0.2125116672704546,253144768,0.7644037950692287
